interaction_id,user_id,user_type,place_id,place_name,source,split,pref_quiet,pref_light,pref_low_crowd,pref_privacy,pref_outlet,pref_distance,pref_thermal_air,pref_control,pref_comfort,pref_deepwork,general_place_type,general_task_type,general_social_mode,general_stay_duration,general_time_slot,general_distraction_noise,general_distraction_crowd,general_distraction_visual,general_distraction_temperature,general_distraction_outlet,general_distraction_distance,general_priority_quiet,general_priority_outlet,general_priority_distance,general_priority_comfort,general_priority_privacy,place_type,task_type,group_size,stay_duration,time_slot,day_type,distance_minutes,weather,indoor_outdoor,visit_frequency,place_quiet,place_light,place_low_crowd,place_low_visual_distraction,place_control,place_comfort,place_outlet,place_task_fit,place_temperature_air,place_seat_availability,quiet_match,light_match,crowd_match,privacy_match,outlet_match,thermal_air_match,control_match,comfort_match,deepwork_task_match,distance_penalty,task_place_fit_match,time_match,satisfaction_score,predicted_satisfaction_score
I0017,U002,comfort_oriented,P061,home_07,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,home,coding,2,2_4h,evening,weekday,16.7,cold,indoor,rarely,4,4,4,4,4,4,4,5,4,5,12,12,16,16,16,16,16,16,3.6,6.3,20,0.5,54.1,64.70959057620021
I0018,U002,comfort_oriented,P102,dorm_lounge_06,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,dorm_lounge,report_writing,solo,2_4h,morning,weekday,18.5,cold,indoor,often,3,3,3,3,3,3,4,3,4,4,9,9,12,12,16,16,12,12,3.4,6.9,12,0.5,58.9,60.407030564585824
I0019,U002,comfort_oriented,P003,library_03,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,library,coding,solo,2_4h,morning,weekday,1.7,cloudy,indoor,sometimes,5,3,4,5,3,3,4,4,4,4,15,9,16,20,16,16,12,12,3.6,0.6,16,0.5,70.4,71.66897070448326
I0020,U002,comfort_oriented,P044,cafe_08,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,cafe,coding,solo,under_1h,afternoon,weekday,12.6,clear,indoor,often,3,4,3,4,2,4,3,3,4,2,9,12,12,16,12,16,8,16,3.6,4.7,12,1.0,60.7,59.86493133616452
I0021,U003,quiet_deepwork,P070,classroom_08,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,classroom,coding,solo,2_4h,afternoon,weekday,14.8,cloudy,indoor,often,3,4,3,2,3,2,3,3,2,3,12,16,12,10,12,8,12,8,4.5,3.7,15,0.5,59.4,59.812973185674316
I0022,U003,quiet_deepwork,P032,study_room_14,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,study_room,report_writing,solo,2_4h,evening,weekday,17.1,clear,indoor,first_time,4,4,4,4,4,3,4,4,4,4,16,16,16,20,16,16,16,12,4.3,4.3,20,1.0,70.8,73.88392333515773
I0023,U003,quiet_deepwork,P001,library_01,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,library,deep_study,solo,2_4h,evening,weekend,8.6,cold,indoor,often,5,4,4,5,2,3,4,5,4,4,20,16,16,25,16,16,8,12,5.0,2.1,25,1.0,84.9,79.88114749386315
I0024,U003,quiet_deepwork,P089,coworking_space_05,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,coworking_space,deep_study,solo,2_4h,evening,weekday,15.6,cold,indoor,sometimes,3,5,4,3,4,4,5,4,4,3,12,20,16,15,20,16,16,16,5.0,3.9,20,1.0,67.3,73.3129623282619
I0025,U003,quiet_deepwork,P027,study_room_09,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,study_room,coding,solo,2_4h,morning,weekend,8.2,clear,indoor,first_time,5,3,3,4,4,3,3,4,3,3,20,12,12,20,12,12,16,12,4.5,2.1,20,0.0,68.6,70.46892848433771
I0026,U003,quiet_deepwork,P010,library_10,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,library,report_writing,solo,2_4h,evening,weekday,3.0,rainy,indoor,often,5,5,4,4,3,4,4,4,4,5,20,20,16,20,16,16,12,16,4.3,0.8,20,1.0,83.5,81.76140590976183
I0027,U003,quiet_deepwork,P054,cafe_18,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,cafe,report_writing,solo,2_4h,early_morning,weekday,9.9,clear,indoor,first_time,3,5,2,3,2,3,3,4,4,3,12,20,8,15,12,16,8,12,4.3,2.5,20,0.0,57.3,64.0689180824779
I0028,U003,quiet_deepwork,P006,library_06,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,library,deep_study,solo,2_4h,morning,weekend,9.1,rainy,indoor,rarely,4,4,4,5,2,3,4,5,5,4,16,16,16,25,16,20,8,12,5.0,2.3,25,0.0,73.9,77.41391695072278
I0029,U003,quiet_deepwork,P089,coworking_space_05,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,coworking_space,light_reading,3_4,1_2h,afternoon,weekday,17.1,rainy,indoor,often,3,5,4,3,4,4,5,3,4,3,12,20,16,15,20,16,16,16,2.3,4.3,9,0.5,76.9,67.82084668712196
I0030,U003,quiet_deepwork,P036,study_room_18,synthetic,test,4,4,4,5,4,2,4,4,4,5,computer_lab,report_writing,mostly_solo,1_2h,evening,1,1,1,1,1,0,1,1,0,1,1,study_room,team_project,2,1_2h,afternoon,weekday,16.0,rainy,indoor,rarely,5,4,4,4,4,4,5,5,4,4,20,16,16,20,20,16,16,16,1.3,4.0,15,0.5,80.1,78.29049932884577
I0031,U004,social_collaborative,P067,classroom_05,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,classroom,meeting,5_plus,2_4h,morning,weekend,1.5,clear,indoor,rarely,3,4,3,3,3,2,3,4,3,3,9,12,3,9,9,9,6,8,0.6,0.6,12,1.0,49.4,52.54186319214831
I0032,U004,social_collaborative,P091,coworking_space_07,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,coworking_space,team_project,2,1_2h,afternoon,weekend,15.6,rainy,indoor,rarely,4,4,4,3,4,5,4,3,3,4,12,12,4,9,12,9,8,20,0.8,5.9,9,0.5,52.4,54.608191109066134
I0033,U004,social_collaborative,P106,dorm_lounge_10,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,dorm_lounge,team_project,5_plus,1_2h,morning,weekday,11.8,clear,indoor,often,3,3,2,3,3,4,3,4,3,3,9,9,2,9,9,9,6,16,0.8,4.4,12,1.0,51.5,54.930902877075
I0034,U004,social_collaborative,P045,cafe_09,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,cafe,online_class,2,1_2h,afternoon,weekend,9.1,hot,indoor,sometimes,2,3,2,2,3,3,3,3,3,3,6,9,2,6,9,9,6,12,2.0,3.4,9,0.5,46.4,41.53251693013533
I0035,U004,social_collaborative,P020,study_room_02,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,study_room,coding,3_4,over_4h,morning,weekday,3.5,hot,indoor,often,4,4,4,5,3,4,4,5,4,4,12,12,4,15,12,12,6,16,2.7,1.3,15,1.0,69.2,59.088313525665754
I0036,U004,social_collaborative,P052,cafe_16,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,cafe,team_project,3_4,1_2h,early_morning,weekday,13.5,cloudy,indoor,first_time,3,5,3,2,2,3,3,4,4,3,9,15,3,6,9,12,4,12,0.8,5.1,12,0.5,56.8,48.81777651359556
I0037,U004,social_collaborative,P029,study_room_11,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,study_room,online_class,solo,1_2h,morning,weekday,8.8,rainy,indoor,first_time,4,4,3,4,2,4,4,3,4,3,12,12,3,12,12,12,4,16,2.0,3.3,9,1.0,45.5,53.43463216397467
I0038,U004,social_collaborative,P086,coworking_space_02,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,coworking_space,team_project,2,2_4h,morning,weekday,14.8,cloudy,indoor,often,3,4,4,4,5,3,4,4,4,4,9,12,4,12,12,12,10,12,0.8,5.6,12,1.0,56.1,56.9247509370457
I0039,U004,social_collaborative,P036,study_room_18,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,study_room,team_project,2,2_4h,afternoon,weekday,6.0,clear,indoor,rarely,5,4,4,4,4,4,5,5,4,4,15,12,4,12,15,12,8,16,0.8,2.3,15,0.5,61.5,63.64325189462794
I0040,U004,social_collaborative,P070,classroom_08,synthetic,valid,3,3,1,3,3,3,3,2,4,3,cafe,meeting,mostly_group,1_2h,morning,0,0,0,0,0,0,0,0,0,1,0,classroom,team_project,5_plus,2_4h,afternoon,weekend,9.6,clear,indoor,often,3,4,3,2,3,2,3,4,2,3,9,12,3,6,9,6,6,8,0.8,3.6,12,0.5,68.0,51.035706916431636
I0041,U005,quiet_deepwork,P085,coworking_space_01,synthetic,valid,4,4,4,4,4,3,5,3,4,4,study_room,report_writing,mostly_solo,2_4h,evening,1,1,1,1,1,0,1,1,0,1,1,coworking_space,coding,solo,1_2h,evening,weekday,4.8,cold,indoor,sometimes,3,5,2,3,4,3,4,4,4,3,12,20,8,12,16,20,12,12,3.6,1.8,16,1.0,64.2,64.26917249033825
I0042,U005,quiet_deepwork,P002,library_02,synthetic,valid,4,4,4,4,4,3,5,3,4,4,study_room,report_writing,mostly_solo,2_4h,evening,1,1,1,1,1,0,1,1,0,1,1,library,light_reading,solo,over_4h,morning,weekday,6.2,rainy,indoor,sometimes,5,5,4,4,2,3,4,5,4,4,20,20,16,16,16,20,6,12,1.8,2.3,15,0.0,82.1,72.45959226638674
I0043,U005,quiet_deepwork,P031,study_room_13,synthetic,valid,4,4,4,4,4,3,5,3,4,4,study_room,report_writing,mostly_solo,2_4h,evening,1,1,1,1,1,0,1,1,0,1,1,study_room,deep_study,solo,1_2h,morning,weekday,4.3,cloudy,indoor,rarely,5,4,4,4,4,4,4,4,5,4,20,16,16,16,16,25,12,16,4.0,1.6,16,0.0,80.3,74.91419618205333
I0044,U005,quiet_deepwork,P077,computer_lab_03,synthetic,valid,4,4,4,4,4,3,5,3,4,4,study_room,report_writing,mostly_solo,2_4h,evening,1,1,1,1,1,0,1,1,0,1,1,computer_lab,report_writing,solo,2_4h,evening,weekday,23.1,cold,indoor,sometimes,4,3,3,3,2,3,4,3,4,4,16,12,12,12,16,20,6,12,3.4,8.7,12,1.0,68.0,61.884016074086816
I0045,U005,quiet_deepwork,P011,library_11,synthetic,valid,4,4,4,4,4,3,5,3,4,4,study_room,report_writing,mostly_solo,2_4h,evening,1,1,1,1,1,0,1,1,0,1,1,library,coding,solo,over_4h,morning,weekday,10.6,clear,indoor,rarely,5,4,4,4,2,4,4,4,4,3,20,16,16,16,16,20,6,16,3.6,4.0,16,0.0,72.1,70.48896389902833
I0046,U005,quiet_deepwork,P009,library_09,synthetic,valid,4,4,4,4,4,3,5,3,4,4,study_room,report_writing,mostly_solo,2_4h,evening,1,1,1,1,1,0,1,1,0,1,1,library,light_reading,2,1_2h,evening,weekday,3.5,clear,indoor,sometimes,4,4,3,4,2,4,4,5,4,4,16,16,12,16,16,20,6,16,1.8,1.3,15,1.0,70.1,68.24361967742479
I0047,U005,quiet_deepwork,P070,classroom_08,synthetic,valid,4,4,4,4,4,3,5,3,4,4,study_room,report_writing,mostly_solo,2_4h,evening,1,1,1,1,1,0,1,1,0,1,1,classroom,deep_study,solo,2_4h,evening,weekday,14.2,clear,indoor,often,3,4,3,2,3,2,3,3,2,3,12,16,12,8,12,10,9,8,4.0,5.3,12,1.0,51.9,55.69024302267376
I0048,U005,quiet_deepwork,P008,library_08,synthetic,valid,4,4,4,4,4,3,5,3,4,4,study_room,report_writing,mostly_solo,2_4h,evening,1,1,1,1,1,0,1,1,0,1,1,library,light_reading,3_4,2_4h,evening,weekday,14.0,clear,indoor,sometimes,5,5,4,4,2,3,4,5,4,4,20,20,16,16,16,20,6,12,1.8,5.2,15,1.0,72.3,69.89613770560715
I0049,U005,quiet_deepwork,P102,dorm_lounge_06,synthetic,valid,4,4,4,4,4,3,5,3,4,4,study_room,report_writing,mostly_solo,2_4h,evening,1,1,1,1,1,0,1,1,0,1,1,dorm_lounge,coding,solo,over_4h,afternoon,weekday,14.2,clear,indoor,sometimes,3,3,3,3,3,3,4,3,4,4,12,12,12,12,16,20,9,12,3.6,5.3,12,0.5,76.2,60.53200215861504
I0050,U005,quiet_deepwork,P007,library_07,synthetic,valid,4,4,4,4,4,3,5,3,4,4,study_room,report_writing,mostly_solo,2_4h,evening,1,1,1,1,1,0,1,1,0,1,1,library,light_reading,solo,1_2h,evening,weekday,9.7,cold,indoor,often,5,4,3,4,3,3,4,5,4,4,20,16,12,16,16,20,9,12,1.8,3.6,15,1.0,72.9,71.17137608259321
I0051,U006,convenience_oriented,P015,library_15,synthetic,train,4,3,3,4,5,5,5,4,3,4,library,coding,mostly_solo,1_2h,afternoon,1,0,1,1,1,1,1,1,1,0,1,library,report_writing,solo,2_4h,afternoon,weekday,17.8,hot,indoor,sometimes,4,4,4,5,2,4,3,5,4,4,16,12,12,20,15,20,8,12,3.4,11.1,20,1.0,66.8,65.15378908666847
I0052,U006,convenience_oriented,P039,cafe_03,synthetic,train,4,3,3,4,5,5,5,4,3,4,library,coding,mostly_solo,1_2h,afternoon,1,0,1,1,1,1,1,1,1,0,1,cafe,coding,solo,1_2h,early_morning,weekday,10.2,clear,indoor,often,3,4,2,3,2,4,3,4,4,4,12,12,6,12,15,20,8,12,3.6,6.4,16,0.0,51.1,59.493179922042984
I0053,U006,convenience_oriented,P041,cafe_05,synthetic,train,4,3,3,4,5,5,5,4,3,4,library,coding,mostly_solo,1_2h,afternoon,1,0,1,1,1,1,1,1,1,0,1,cafe,deep_study,solo,under_1h,afternoon,weekend,9.6,clear,indoor,sometimes,2,4,2,3,2,4,4,2,4,3,8,12,6,12,20,20,8,12,4.0,6.0,8,1.0,42.9,55.031090340932074
I0054,U006,convenience_oriented,P070,classroom_08,synthetic,train,4,3,3,4,5,5,5,4,3,4,library,coding,mostly_solo,1_2h,afternoon,1,0,1,1,1,1,1,1,1,0,1,classroom,deep_study,solo,over_4h,evening,weekday,12.6,rainy,indoor,first_time,3,4,3,2,3,2,3,3,2,3,12,12,9,8,15,10,12,6,4.0,7.9,12,0.5,59.9,48.84800192565834
I0055,U006,convenience_oriented,P017,library_17,synthetic,train,4,3,3,4,5,5,5,4,3,4,library,coding,mostly_solo,1_2h,afternoon,1,0,1,1,1,1,1,1,1,0,1,library,coding,solo,2_4h,evening,weekday,8.5,hot,indoor,first_time,5,4,4,5,3,3,4,3,5,4,20,12,12,20,20,25,12,9,3.6,5.3,12,0.5,57.8,67.0103843623194
I0056,U006,convenience_oriented,P043,cafe_07,synthetic,train,4,3,3,4,5,5,5,4,3,4,library,coding,mostly_solo,1_2h,afternoon,1,0,1,1,1,1,1,1,1,0,1,cafe,online_class,3_4,under_1h,afternoon,weekday,1.7,hot,indoor,sometimes,2,5,3,3,2,4,3,3,3,3,8,15,9,12,15,15,8,12,2.6,1.1,9,1.0,43.2,54.896900226673566
I0057,U006,convenience_oriented,P022,study_room_04,synthetic,train,4,3,3,4,5,5,5,4,3,4,library,coding,mostly_solo,1_2h,afternoon,1,0,1,1,1,1,1,1,1,0,1,study_room,deep_study,2,1_2h,afternoon,weekday,13.6,clear,indoor,sometimes,4,5,3,4,5,3,4,5,4,4,16,15,9,16,20,20,20,9,4.0,8.5,20,1.0,69.3,64.33589056599399
I0058,U006,convenience_oriented,P102,dorm_lounge_06,synthetic,train,4,3,3,4,5,5,5,4,3,4,library,coding,mostly_solo,1_2h,afternoon,1,0,1,1,1,1,1,1,1,0,1,dorm_lounge,team_project,3_4,1_2h,afternoon,weekday,14.0,cold,indoor,often,3,3,3,3,3,3,4,4,4,4,12,9,9,12,20,20,12,9,1.0,8.7,12,1.0,62.2,62.26666247334005
I0059,U006,convenience_oriented,P042,cafe_06,synthetic,train,4,3,3,4,5,5,5,4,3,4,library,coding,mostly_solo,1_2h,afternoon,1,0,1,1,1,1,1,1,1,0,1,cafe,light_reading,solo,1_2h,morning,weekday,13.0,clear,indoor,sometimes,3,4,2,3,2,4,3,4,4,3,12,12,6,12,15,20,8,12,1.8,8.1,12,0.5,56.7,56.392325511953814
I0060,U006,convenience_oriented,P060,home_06,synthetic,train,4,3,3,4,5,5,5,4,3,4,library,coding,mostly_solo,1_2h,afternoon,1,0,1,1,1,1,1,1,1,0,1,home,coding,solo,2_4h,evening,weekday,16.5,cloudy,indoor,sometimes,4,3,5,5,4,5,5,5,4,5,16,9,15,20,25,20,16,15,3.6,10.3,20,0.5,75.3,71.9369797109782
I0061,U007,convenience_oriented,P100,dorm_lounge_04,synthetic,valid,3,4,3,4,4,5,3,3,4,3,home,light_reading,mixed,1_2h,evening,0,0,1,0,1,1,0,1,1,1,1,dorm_lounge,report_writing,3_4,over_4h,afternoon,weekend,10.1,cloudy,indoor,often,3,4,2,3,3,4,3,3,4,4,9,16,6,12,12,12,9,16,2.6,6.3,9,0.5,42.3,55.167929707108335
I0062,U007,convenience_oriented,P017,library_17,synthetic,valid,3,4,3,4,4,5,3,3,4,3,home,light_reading,mixed,1_2h,evening,0,0,1,0,1,1,0,1,1,1,1,library,deep_study,solo,1_2h,late_night,weekday,9.6,clear,indoor,sometimes,5,4,4,5,3,3,4,5,5,4,15,16,12,20,16,15,9,12,3.0,6.0,15,0.5,70.9,68.25765050357137
I0063,U007,convenience_oriented,P115,outdoor_07,synthetic,valid,3,4,3,4,4,5,3,3,4,3,home,light_reading,mixed,1_2h,evening,0,0,1,0,1,1,0,1,1,1,1,outdoor,coding,3_4,2_4h,afternoon,weekday,18.1,clear,outdoor,rarely,3,4,3,3,1,3,1,2,2,3,9,16,9,12,4,6,3,12,2.7,11.3,6,0.5,41.9,38.79312897903286
I0064,U007,convenience_oriented,P028,study_room_10,synthetic,valid,3,4,3,4,4,5,3,3,4,3,home,light_reading,mixed,1_2h,evening,0,0,1,0,1,1,0,1,1,1,1,study_room,coding,2,over_4h,afternoon,weekday,23.1,rainy,indoor,sometimes,4,4,3,3,4,4,5,4,4,3,12,16,9,12,20,12,12,16,2.7,14.4,12,0.5,53.2,53.753354868640855
I0065,U007,convenience_oriented,P049,cafe_13,synthetic,valid,3,4,3,4,4,5,3,3,4,3,home,light_reading,mixed,1_2h,evening,0,0,1,0,1,1,0,1,1,1,1,cafe,online_class,2,2_4h,morning,weekday,10.1,clear,indoor,often,3,4,2,3,3,3,2,3,4,2,9,16,6,12,8,12,9,12,2.0,6.3,9,0.0,52.3,50.832213815807165
I0066,U007,convenience_oriented,P009,library_09,synthetic,valid,3,4,3,4,4,5,3,3,4,3,home,light_reading,mixed,1_2h,evening,0,0,1,0,1,1,0,1,1,1,1,library,online_class,3_4,2_4h,afternoon,weekday,9.3,rainy,indoor,sometimes,4,4,3,4,2,4,4,2,4,4,12,16,9,16,16,12,6,16,2.0,5.8,6,0.5,65.8,59.08311087045195
